id	assigned_topic	topic_label	lang
young_wedding_both_474	0	0_servant_cat_wreath_horse	nl
young_wedding_both_475	9	9_wedding_crows_crow_married	nl
young_wedding_both_476	13	13_bake_basket_bells_eggs	nl
young_wedding_both_477	2	2_beer_beer drink_drank_eating	nl
young_wedding_both_478	1	1_nicholas_saint_blessed_god	nl
young_wedding_both_479	9	9_wedding_crows_crow_married	nl
young_wedding_both_480	9	9_wedding_crows_crow_married	nl
young_wedding_both_481	2	2_beer_beer drink_drank_eating	nl
young_wedding_both_482	15	15_bow_fall_sail_singing	nl
young_wedding_both_483	9	9_wedding_crows_crow_married	nl
young_wedding_both_484	15	15_bow_fall_sail_singing	nl
young_wedding_both_485	1	1_nicholas_saint_blessed_god	nl
young_wedding_both_486	11	11_apples_tree_sisters_wine	nl
young_wedding_both_487	7	7_legs_calf_reed_nest	nl
young_wedding_both_488	15	15_bow_fall_sail_singing	nl
young_wedding_both_489	9	9_wedding_crows_crow_married	nl
young_wedding_both_490	12	12_march_thirty_month_june	nl
young_wedding_both_491	14	14_herd_dog_tail_turning	nl
young_wedding_both_492	9	9_wedding_crows_crow_married	nl
young_wedding_both_493	15	15_bow_fall_sail_singing	nl
young_wedding_both_494	13	13_bake_basket_bells_eggs	nl
young_wedding_both_495	10	10_wheat_barley_rye_pea	nl
young_wedding_both_496	7	7_legs_calf_reed_nest	nl
young_wedding_both_497	12	12_march_thirty_month_june	nl
young_wedding_both_498	15	15_bow_fall_sail_singing	nl
young_wedding_both_499	12	12_march_thirty_month_june	nl
young_wedding_both_500	4	4_servants_thousand_soul_book	nl
young_wedding_both_501	1	1_nicholas_saint_blessed_god	nl
young_wedding_both_502	1	1_nicholas_saint_blessed_god	nl
Pod_395	0	0_servant_cat_wreath_horse	uk
Pod_396	13	13_bake_basket_bells_eggs	uk
Pod_1404	9	9_wedding_crows_crow_married	uk
Pod_1405	9	9_wedding_crows_crow_married	uk
Pod_1406	1	1_nicholas_saint_blessed_god	uk
Pod_1407	8	8_june_march_saint_day	uk
Pod_1408	1	1_nicholas_saint_blessed_god	uk
Pod_1409	14	14_herd_dog_tail_turning	uk
Pod_1410	10	10_wheat_barley_rye_pea	uk
Pod_1411	4	4_servants_thousand_soul_book	uk
Pod_1412	6	6_sparrow_cabbage_pea_chirp	uk
Pod_1413	0	0_servant_cat_wreath_horse	uk
Pod_1414	8	8_june_march_saint_day	uk
Pod_1415	1	1_nicholas_saint_blessed_god	uk
Pod_1416	9	9_wedding_crows_crow_married	uk
Pod_1417	2	2_beer_beer drink_drank_eating	uk
Pod_1418	17	17_crooked_tavern_trembles_straight	uk
Pod_1419	9	9_wedding_crows_crow_married	uk
Pod_1420	6	6_sparrow_cabbage_pea_chirp	uk
Pod_1421	2	2_beer_beer drink_drank_eating	uk
Pod_1422	13	13_bake_basket_bells_eggs	uk
Pod_1423	9	9_wedding_crows_crow_married	uk
Pod_1424	13	13_bake_basket_bells_eggs	uk
Pod_1425	13	13_bake_basket_bells_eggs	uk
Pod_1426	3	3_oxen_gentlemen_peasants_plow	uk
Pod_1427	8	8_june_march_saint_day	uk
Pod_1428	5	5_matchmaker_vodka_melody_wedding	uk
Pod_1429	15	15_bow_fall_sail_singing	uk
Pod_1430	0	0_servant_cat_wreath_horse	uk
Pod_1431	11	11_apples_tree_sisters_wine	uk
Pod_1432	6	6_sparrow_cabbage_pea_chirp	uk
Pod_1433	9	9_wedding_crows_crow_married	uk
Pod_1434	15	15_bow_fall_sail_singing	uk
Pod_1435	10	10_wheat_barley_rye_pea	uk
Pod_1436	9	9_wedding_crows_crow_married	uk
Pod_1437	0	0_servant_cat_wreath_horse	uk
Pod_1438	14	14_herd_dog_tail_turning	uk
Pod_1439	10	10_wheat_barley_rye_pea	uk
Pod_1440	7	7_legs_calf_reed_nest	uk
Pod_1441	9	9_wedding_crows_crow_married	uk
Pod_1442	0	0_servant_cat_wreath_horse	uk
Pod_1443	0	0_servant_cat_wreath_horse	uk
Pod_1444	13	13_bake_basket_bells_eggs	uk
Pod_1445	9	9_wedding_crows_crow_married	uk
Pod_1446	11	11_apples_tree_sisters_wine	uk
Pod_1447	15	15_bow_fall_sail_singing	uk
Pod_1448	8	8_june_march_saint_day	uk
