id	assigned_topic	topic_label	lang
h30101360004	0	0_fate_weaving_wind_song	et
h30101400008	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	et
h30400830001	0	0_fate_weaving_wind_song	et
h31708530008	0	0_fate_weaving_wind_song	et
goheung-0512	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
yeongdong-0104	0	0_fate_weaving_wind_song	ko
hwacheon-0217	0	0_fate_weaving_wind_song	ko
gn.goseong-0107	0	0_fate_weaving_wind_song	ko
hampyeong-0402	33	33_lullaby lullaby_lullaby_lullaby baby_sleep lullaby	ko
yeongam-0423	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
icheon-0412	0	0_fate_weaving_wind_song	ko
